designation,type,edi_name,manual_label,weight_lb_ft,area_sq_in,depth_in,flange_w_in,web_t_in,flange_t_in
WT18X80,WT,WT18X80,WT18X80,80.0,23.5,18.0,12.0,0.65,1.02
WT18X75,WT,WT18X75,WT18X75,75.0,22.1,17.9,12.0,0.625,0.94
WT18X67.5,WT,WT18X67.5,WT18X67.5,67.5,19.9,17.8,12.0,0.6,0.79
WT16.5X193.5,WT,WT16.5X193.5,WT16.5X193.5,193.5,57.0,18.0,16.2,1.26,2.28
WT16.5X177,WT,WT16.5X177,WT16.5X177,177.0,52.1,17.8,16.1,1.16,2.09
WT16.5X159,WT,WT16.5X159,WT16.5X159,159.0,46.8,17.6,16.0,1.04,1.89
WT16.5X145.5,WT,WT16.5X145.5,WT16.5X145.5,145.5,42.8,17.4,15.9,0.96,1.73
WT16.5X131.5,WT,WT16.5X131.5,WT16.5X131.5,131.5,38.7,17.3,15.8,0.87,1.57
WT16.5X120.5,WT,WT16.5X120.5,WT16.5X120.5,120.5,35.6,17.1,15.9,0.83,1.4
WT16.5X110.5,WT,WT16.5X110.5,WT16.5X110.5,110.5,32.6,17.0,15.8,0.775,1.28
WT16.5X100.5,WT,WT16.5X100.5,WT16.5X100.5,100.5,29.7,16.8,15.7,0.715,1.15
WT16.5X84.5,WT,WT16.5X84.5,WT16.5X84.5,84.5,24.7,16.9,11.5,0.67,1.22
WT16.5X76,WT,WT16.5X76,WT16.5X76,76.0,22.5,16.7,11.6,0.635,1.06
WT16.5X70.5,WT,WT16.5X70.5,WT16.5X70.5,70.5,20.7,16.7,11.5,0.605,0.96
WT16.5X65,WT,WT16.5X65,WT16.5X65,65.0,19.1,16.5,11.5,0.58,0.855
WT16.5X59,WT,WT16.5X59,WT16.5X59,59.0,17.4,16.4,11.5,0.55,0.74
WT15X195.5,WT,WT15X195.5,WT15X195.5,195.5,57.6,16.6,15.6,1.36,2.44
WT15X178.5,WT,WT15X178.5,WT15X178.5,178.5,52.5,16.4,15.5,1.24,2.24
WT15X163,WT,WT15X163,WT15X163,163.0,48.0,16.2,15.4,1.14,2.05
WT15X146,WT,WT15X146,WT15X146,146.0,43.0,16.0,15.3,1.02,1.85
WT15X130.5,WT,WT15X130.5,WT15X130.5,130.5,38.5,15.8,15.2,0.93,1.65
WT15X117.5,WT,WT15X117.5,WT15X117.5,117.5,34.7,15.7,15.1,0.83,1.5
WT15X105.5,WT,WT15X105.5,WT15X105.5,105.5,31.1,15.5,15.1,0.775,1.32
WT15X95.5,WT,WT15X95.5,WT15X95.5,95.5,28.0,15.3,15.0,0.71,1.19
WT15X86.5,WT,WT15X86.5,WT15X86.5,86.5,25.4,15.2,15.0,0.655,1.07
WT15X74,WT,WT15X74,WT15X74,74.0,21.8,15.3,10.5,0.65,1.18
WT15X66,WT,WT15X66,WT15X66,66.0,19.5,15.2,10.5,0.615,1.0
WT15X62,WT,WT15X62,WT15X62,62.0,18.2,15.1,10.5,0.585,0.93
WT15X58,WT,WT15X58,WT15X58,58.0,17.1,15.0,10.5,0.565,0.85
WT15X54,WT,WT15X54,WT15X54,54.0,15.9,14.9,10.5,0.545,0.76
WT15X49.5,WT,WT15X49.5,WT15X49.5,49.5,14.5,14.8,10.5,0.52,0.67
WT15X45,WT,WT15X45,WT15X45,45.0,13.2,14.8,10.4,0.47,0.61
WT13.5X269.5,WT,WT13.5X269.5,WT13.5X269.5,269.5,79.3,16.3,15.3,1.97,3.54
WT13.5X184,WT,WT13.5X184,WT13.5X184,184.0,54.2,15.2,14.7,1.38,2.48
WT13.5X168,WT,WT13.5X168,WT13.5X168,168.0,49.5,15.0,14.6,1.26,2.28
WT13.5X153.5,WT,WT13.5X153.5,WT13.5X153.5,153.5,45.2,14.8,14.4,1.16,2.09
WT13.5X140.5,WT,WT13.5X140.5,WT13.5X140.5,140.5,41.5,14.6,14.4,1.06,1.93
WT13.5X129,WT,WT13.5X129,WT13.5X129,129.0,38.1,14.5,14.3,0.98,1.77
WT13.5X117.5,WT,WT13.5X117.5,WT13.5X117.5,117.5,34.7,14.3,14.2,0.91,1.61
WT13.5X108.5,WT,WT13.5X108.5,WT13.5X108.5,108.5,32.0,14.2,14.1,0.83,1.5
WT13.5X97,WT,WT13.5X97,WT13.5X97,97.0,28.6,14.1,14.0,0.75,1.34
WT13.5X89,WT,WT13.5X89,WT13.5X89,89.0,26.3,13.9,14.1,0.725,1.19
WT13.5X80.5,WT,WT13.5X80.5,WT13.5X80.5,80.5,23.8,13.8,14.0,0.66,1.08
WT13.5X73,WT,WT13.5X73,WT13.5X73,73.0,21.6,13.7,14.0,0.605,0.975
WT13.5X64.5,WT,WT13.5X64.5,WT13.5X64.5,64.5,18.9,13.8,10.0,0.61,1.1
WT13.5X57,WT,WT13.5X57,WT13.5X57,57.0,16.8,13.6,10.1,0.57,0.93
WT13.5X51,WT,WT13.5X51,WT13.5X51,51.0,15.0,13.5,10.0,0.515,0.83
WT13.5X47,WT,WT13.5X47,WT13.5X47,47.0,13.8,13.5,10.0,0.49,0.745
WT13.5X42,WT,WT13.5X42,WT13.5X42,42.0,12.4,13.4,10.0,0.46,0.64
WT12X185,WT,WT12X185,WT12X185,185.0,54.5,14.0,13.7,1.52,2.72
WT12X167.5,WT,WT12X167.5,WT12X167.5,167.5,49.1,13.8,13.5,1.38,2.48
WT12X153,WT,WT12X153,WT12X153,153.0,44.9,13.6,13.4,1.26,2.28
WT12X139.5,WT,WT12X139.5,WT12X139.5,139.5,41.0,13.4,13.3,1.16,2.09
WT12X125,WT,WT12X125,WT12X125,125.0,36.8,13.2,13.2,1.04,1.89
WT12X114.5,WT,WT12X114.5,WT12X114.5,114.5,33.6,13.0,13.1,0.96,1.73
WT12X103.5,WT,WT12X103.5,WT12X103.5,103.5,30.3,12.9,13.0,0.87,1.57
WT12X96,WT,WT12X96,WT12X96,96.0,28.2,12.7,13.0,0.81,1.46
WT12X88,WT,WT12X88,WT12X88,88.0,25.8,12.6,12.9,0.75,1.34
WT12X81,WT,WT12X81,WT12X81,81.0,23.9,12.5,13.0,0.705,1.22
WT12X73,WT,WT12X73,WT12X73,73.0,21.5,12.4,12.9,0.65,1.09
WT12X65.5,WT,WT12X65.5,WT12X65.5,65.5,19.3,12.2,12.9,0.605,0.96
WT12X58.5,WT,WT12X58.5,WT12X58.5,58.5,17.2,12.1,12.8,0.55,0.85
WT12X52,WT,WT12X52,WT12X52,52.0,15.3,12.0,12.8,0.5,0.75
WT12X51.5,WT,WT12X51.5,WT12X51.5,51.5,15.1,12.3,9.0,0.55,0.98
WT12X47,WT,WT12X47,WT12X47,47.0,13.8,12.2,9.07,0.515,0.875
WT12X42,WT,WT12X42,WT12X42,42.0,12.4,12.1,9.02,0.47,0.77
WT12X38,WT,WT12X38,WT12X38,38.0,11.2,12.0,8.99,0.44,0.68
WT12X34,WT,WT12X34,WT12X34,34.0,10.0,11.9,8.97,0.415,0.585
WT12X31,WT,WT12X31,WT12X31,31.0,9.11,11.9,7.04,0.43,0.59
WT12X27.5,WT,WT12X27.5,WT12X27.5,27.5,8.1,11.8,7.01,0.395,0.505
WT10.5X137.5,WT,WT10.5X137.5,WT10.5X137.5,137.5,40.9,12.1,12.9,1.22,2.19
WT10.5X124,WT,WT10.5X124,WT10.5X124,124.0,37.0,11.9,12.8,1.1,1.99
WT10.5X111.5,WT,WT10.5X111.5,WT10.5X111.5,111.5,33.2,11.7,12.7,1.0,1.79
WT10.5X100.5,WT,WT10.5X100.5,WT10.5X100.5,100.5,29.6,11.5,12.6,0.91,1.63
WT10.5X91,WT,WT10.5X91,WT10.5X91,91.0,26.8,11.4,12.5,0.83,1.48
WT10.5X83,WT,WT10.5X83,WT10.5X83,83.0,24.4,11.2,12.4,0.75,1.36
WT10.5X73.5,WT,WT10.5X73.5,WT10.5X73.5,73.5,21.6,11.0,12.5,0.72,1.15
WT10.5X66,WT,WT10.5X66,WT10.5X66,66.0,19.4,10.9,12.4,0.65,1.04
WT10.5X61,WT,WT10.5X61,WT10.5X61,61.0,17.9,10.8,12.4,0.6,0.96
WT10.5X55.5,WT,WT10.5X55.5,WT10.5X55.5,55.5,16.3,10.8,12.3,0.55,0.875
WT10.5X50.5,WT,WT10.5X50.5,WT10.5X50.5,50.5,14.9,10.7,12.3,0.5,0.8
WT10.5X46.5,WT,WT10.5X46.5,WT10.5X46.5,46.5,13.7,10.8,8.42,0.58,0.93
WT10.5X41.5,WT,WT10.5X41.5,WT10.5X41.5,41.5,12.2,10.7,8.36,0.515,0.835
WT10.5X36.5,WT,WT10.5X36.5,WT10.5X36.5,36.5,10.7,10.6,8.3,0.455,0.74
WT10.5X34,WT,WT10.5X34,WT10.5X34,34.0,10.0,10.6,8.27,0.43,0.685
WT10.5X31,WT,WT10.5X31,WT10.5X31,31.0,9.13,10.5,8.24,0.4,0.615
WT10.5X27.5,WT,WT10.5X27.5,WT10.5X27.5,27.5,8.1,10.4,8.22,0.375,0.522
WT10.5X24,WT,WT10.5X24,WT10.5X24,24.0,7.07,10.3,8.14,0.35,0.43
WT10.5X28.5,WT,WT10.5X28.5,WT10.5X28.5,28.5,8.37,10.5,6.56,0.405,0.65
WT10.5X25,WT,WT10.5X25,WT10.5X25,25.0,7.36,10.4,6.53,0.38,0.535
WT10.5X22,WT,WT10.5X22,WT10.5X22,22.0,6.49,10.3,6.5,0.35,0.45
WT9X155.5,WT,WT9X155.5,WT9X155.5,155.5,45.8,11.2,12.0,1.52,2.74
WT9X141.5,WT,WT9X141.5,WT9X141.5,141.5,41.7,10.9,11.9,1.4,2.5
WT9X129,WT,WT9X129,WT9X129,129.0,38.0,10.7,11.8,1.28,2.3
WT9X117,WT,WT9X117,WT9X117,117.0,34.3,10.5,11.7,1.16,2.11
WT9X105.5,WT,WT9X105.5,WT9X105.5,105.5,31.2,10.3,11.6,1.06,1.91
WT9X96,WT,WT9X96,WT9X96,96.0,28.1,10.2,11.5,0.96,1.75
WT9X87.5,WT,WT9X87.5,WT9X87.5,87.5,25.7,10.0,11.4,0.89,1.59
WT9X79,WT,WT9X79,WT9X79,79.0,23.2,9.86,11.3,0.81,1.44
WT9X71.5,WT,WT9X71.5,WT9X71.5,71.5,21.0,9.75,11.2,0.73,1.32
WT9X65,WT,WT9X65,WT9X65,65.0,19.2,9.63,11.2,0.67,1.2
WT9X59.5,WT,WT9X59.5,WT9X59.5,59.5,17.6,9.49,11.3,0.655,1.06
WT9X53,WT,WT9X53,WT9X53,53.0,15.6,9.37,11.2,0.59,0.94
WT9X48.5,WT,WT9X48.5,WT9X48.5,48.5,14.2,9.3,11.1,0.535,0.87
WT9X43,WT,WT9X43,WT9X43,43.0,12.7,9.2,11.1,0.48,0.77
WT9X38,WT,WT9X38,WT9X38,38.0,11.1,9.11,11.0,0.425,0.68
WT9X35.5,WT,WT9X35.5,WT9X35.5,35.5,10.4,9.24,7.64,0.495,0.81
WT9X32.5,WT,WT9X32.5,WT9X32.5,32.5,9.55,9.18,7.59,0.45,0.75
WT9X30,WT,WT9X30,WT9X30,30.0,8.82,9.12,7.56,0.415,0.695
WT9X27.5,WT,WT9X27.5,WT9X27.5,27.5,8.1,9.06,7.53,0.39,0.63
WT9X25,WT,WT9X25,WT9X25,25.0,7.34,9.0,7.5,0.355,0.57
WT9X23,WT,WT9X23,WT9X23,23.0,6.77,9.03,6.06,0.36,0.605
WT9X20,WT,WT9X20,WT9X20,20.0,5.88,8.95,6.02,0.315,0.525
WT9X17.5,WT,WT9X17.5,WT9X17.5,17.5,5.15,8.85,6.0,0.3,0.425
WT8X50,WT,WT8X50,WT8X50,50.0,14.7,8.49,10.4,0.585,0.985
WT8X44.5,WT,WT8X44.5,WT8X44.5,44.5,13.1,8.38,10.4,0.525,0.875
WT8X38.5,WT,WT8X38.5,WT8X38.5,38.5,11.3,8.26,10.3,0.455,0.76
WT8X33.5,WT,WT8X33.5,WT8X33.5,33.5,9.81,8.17,10.2,0.395,0.665
WT8X28.5,WT,WT8X28.5,WT8X28.5,28.5,8.39,8.22,7.12,0.43,0.715
WT8X25,WT,WT8X25,WT8X25,25.0,7.37,8.13,7.07,0.38,0.63
WT8X22.5,WT,WT8X22.5,WT8X22.5,22.5,6.63,8.07,7.04,0.345,0.565
WT8X20,WT,WT8X20,WT8X20,20.0,5.89,8.01,7.0,0.305,0.505
WT8X18,WT,WT8X18,WT8X18,18.0,5.29,7.93,6.99,0.295,0.43
WT8X15.5,WT,WT8X15.5,WT8X15.5,15.5,4.56,7.94,5.53,0.275,0.44
WT8X13,WT,WT8X13,WT8X13,13.0,3.84,7.85,5.5,0.25,0.345
WT7X436.5,WT,WT7X436.5,WT7X436.5,436.5,129.0,11.8,18.8,3.94,5.51
WT7X404,WT,WT7X404,WT7X404,404.0,119.0,11.4,18.6,3.74,5.12
WT7X365,WT,WT7X365,WT7X365,365.0,107.0,11.2,17.9,3.07,4.91
WT7X332.5,WT,WT7X332.5,WT7X332.5,332.5,97.8,10.8,17.7,2.83,4.52
WT7X302.5,WT,WT7X302.5,WT7X302.5,302.5,89.0,10.5,17.4,2.6,4.16
WT7X275,WT,WT7X275,WT7X275,275.0,80.9,10.1,17.2,2.38,3.82
WT7X250,WT,WT7X250,WT7X250,250.0,73.5,9.8,17.0,2.19,3.5
WT7X227.5,WT,WT7X227.5,WT7X227.5,227.5,66.9,9.51,16.8,2.02,3.21
WT7X213,WT,WT7X213,WT7X213,213.0,62.7,9.34,16.7,1.88,3.04
WT7X199,WT,WT7X199,WT7X199,199.0,58.4,9.15,16.6,1.77,2.85
WT7X185,WT,WT7X185,WT7X185,185.0,54.4,8.96,16.5,1.66,2.66
WT7X171,WT,WT7X171,WT7X171,171.0,50.3,8.77,16.4,1.54,2.47
WT7X155.5,WT,WT7X155.5,WT7X155.5,155.5,45.7,8.56,16.2,1.41,2.26
WT7X141.5,WT,WT7X141.5,WT7X141.5,141.5,41.6,8.37,16.1,1.29,2.07
WT7X128.5,WT,WT7X128.5,WT7X128.5,128.5,37.8,8.19,16.0,1.18,1.89
WT7X116.5,WT,WT7X116.5,WT7X116.5,116.5,34.2,8.02,15.9,1.07,1.72
WT7X105.5,WT,WT7X105.5,WT7X105.5,105.5,31.0,7.86,15.8,0.98,1.56
WT7X96.5,WT,WT7X96.5,WT7X96.5,96.5,28.4,7.74,15.7,0.89,1.44
WT7X88,WT,WT7X88,WT7X88,88.0,25.9,7.61,15.7,0.83,1.31
WT7X79.5,WT,WT7X79.5,WT7X79.5,79.5,23.4,7.49,15.6,0.745,1.19
WT7X72.5,WT,WT7X72.5,WT7X72.5,72.5,21.3,7.39,15.5,0.68,1.09
WT7X66,WT,WT7X66,WT7X66,66.0,19.4,7.33,14.7,0.645,1.03
WT7X60,WT,WT7X60,WT7X60,60.0,17.7,7.24,14.7,0.59,0.94
WT7X54.5,WT,WT7X54.5,WT7X54.5,54.5,16.0,7.16,14.6,0.525,0.86
WT7X49.5,WT,WT7X49.5,WT7X49.5,49.5,14.6,7.08,14.6,0.485,0.78
WT7X45,WT,WT7X45,WT7X45,45.0,13.2,7.01,14.5,0.44,0.71
WT7X41,WT,WT7X41,WT7X41,41.0,12.0,7.16,10.1,0.51,0.855
WT7X37,WT,WT7X37,WT7X37,37.0,10.9,7.09,10.1,0.45,0.785
WT7X34,WT,WT7X34,WT7X34,34.0,10.0,7.02,10.0,0.415,0.72
WT7X30.5,WT,WT7X30.5,WT7X30.5,30.5,8.96,6.95,10.0,0.375,0.645
WT7X26.5,WT,WT7X26.5,WT7X26.5,26.5,7.8,6.96,8.06,0.37,0.66
WT7X24,WT,WT7X24,WT7X24,24.0,7.07,6.9,8.03,0.34,0.595
WT7X21.5,WT,WT7X21.5,WT7X21.5,21.5,6.31,6.83,8.0,0.305,0.53
WT7X19,WT,WT7X19,WT7X19,19.0,5.58,7.05,6.77,0.31,0.515
WT7X17,WT,WT7X17,WT7X17,17.0,5.0,6.99,6.75,0.285,0.455
WT7X15,WT,WT7X15,WT7X15,15.0,4.42,6.92,6.73,0.27,0.385
WT7X13,WT,WT7X13,WT7X13,13.0,3.85,6.96,5.03,0.255,0.42
WT7X11,WT,WT7X11,WT7X11,11.0,3.25,6.87,5.0,0.23,0.335
WT6X168,WT,WT6X168,WT6X168,168.0,49.5,8.41,13.4,1.78,2.96
WT6X152.5,WT,WT6X152.5,WT6X152.5,152.5,44.7,8.16,13.2,1.63,2.71
WT6X139.5,WT,WT6X139.5,WT6X139.5,139.5,41.0,7.93,13.1,1.53,2.47
WT6X126,WT,WT6X126,WT6X126,126.0,37.1,7.71,13.0,1.4,2.25
WT6X115,WT,WT6X115,WT6X115,115.0,33.8,7.53,12.9,1.29,2.07
WT6X105,WT,WT6X105,WT6X105,105.0,30.9,7.36,12.8,1.18,1.9
WT6X95,WT,WT6X95,WT6X95,95.0,28.0,7.19,12.7,1.06,1.74
WT6X85,WT,WT6X85,WT6X85,85.0,25.0,7.02,12.6,0.96,1.56
WT6X76,WT,WT6X76,WT6X76,76.0,22.4,6.86,12.5,0.87,1.4
WT6X68,WT,WT6X68,WT6X68,68.0,20.0,6.71,12.4,0.79,1.25
WT6X60,WT,WT6X60,WT6X60,60.0,17.6,6.56,12.3,0.71,1.11
WT6X53,WT,WT6X53,WT6X53,53.0,15.6,6.45,12.2,0.61,0.99
WT6X48,WT,WT6X48,WT6X48,48.0,14.1,6.36,12.2,0.55,0.9
WT6X43.5,WT,WT6X43.5,WT6X43.5,43.5,12.8,6.27,12.1,0.515,0.81
WT6X39.5,WT,WT6X39.5,WT6X39.5,39.5,11.6,6.19,12.1,0.47,0.735
WT6X36,WT,WT6X36,WT6X36,36.0,10.6,6.13,12.0,0.43,0.67
WT6X32.5,WT,WT6X32.5,WT6X32.5,32.5,9.54,6.06,12.0,0.39,0.605
WT6X29,WT,WT6X29,WT6X29,29.0,8.52,6.1,10.0,0.36,0.64
WT6X26.5,WT,WT6X26.5,WT6X26.5,26.5,7.78,6.03,10.0,0.345,0.575
WT6X25,WT,WT6X25,WT6X25,25.0,7.3,6.1,8.08,0.37,0.64
WT6X22.5,WT,WT6X22.5,WT6X22.5,22.5,6.56,6.03,8.05,0.335,0.575
WT6X20,WT,WT6X20,WT6X20,20.0,5.84,5.97,8.01,0.295,0.515
WT6X17.5,WT,WT6X17.5,WT6X17.5,17.5,5.17,6.25,6.56,0.3,0.52
WT6X15,WT,WT6X15,WT6X15,15.0,4.4,6.17,6.52,0.26,0.44
WT6X13,WT,WT6X13,WT6X13,13.0,3.82,6.11,6.49,0.23,0.38
WT6X11,WT,WT6X11,WT6X11,11.0,3.24,6.16,4.03,0.26,0.425
WT6X9.5,WT,WT6X9.5,WT6X9.5,9.5,2.79,6.08,4.01,0.235,0.35
WT6X8,WT,WT6X8,WT6X8,8.0,2.36,6.0,3.99,0.22,0.265
WT6X7,WT,WT6X7,WT6X7,7.0,2.08,5.96,3.97,0.2,0.225
WT5X56,WT,WT5X56,WT5X56,56.0,16.5,5.68,10.4,0.755,1.25
WT5X50,WT,WT5X50,WT5X50,50.0,14.7,5.55,10.3,0.68,1.12
WT5X44,WT,WT5X44,WT5X44,44.0,13.0,5.42,10.3,0.605,0.99
WT5X38.5,WT,WT5X38.5,WT5X38.5,38.5,11.3,5.3,10.2,0.53,0.87
WT5X34,WT,WT5X34,WT5X34,34.0,10.0,5.2,10.1,0.47,0.77
WT5X30,WT,WT5X30,WT5X30,30.0,8.84,5.11,10.1,0.42,0.68
WT5X27,WT,WT5X27,WT5X27,27.0,7.9,5.05,10.0,0.37,0.615
WT5X24.5,WT,WT5X24.5,WT5X24.5,24.5,7.21,4.99,10.0,0.34,0.56
WT5X22.5,WT,WT5X22.5,WT5X22.5,22.5,6.63,5.05,8.02,0.35,0.62
WT5X19.5,WT,WT5X19.5,WT5X19.5,19.5,5.73,4.96,7.99,0.315,0.53
WT5X16.5,WT,WT5X16.5,WT5X16.5,16.5,4.85,4.87,7.96,0.29,0.435
WT5X15,WT,WT5X15,WT5X15,15.0,4.42,5.24,5.81,0.3,0.51
WT5X13,WT,WT5X13,WT5X13,13.0,3.81,5.17,5.77,0.26,0.44
WT5X11,WT,WT5X11,WT5X11,11.0,3.24,5.09,5.75,0.24,0.36
WT5X9.5,WT,WT5X9.5,WT5X9.5,9.5,2.81,5.12,4.02,0.25,0.395
WT5X8.5,WT,WT5X8.5,WT5X8.5,8.5,2.5,5.06,4.01,0.24,0.33
WT5X7.5,WT,WT5X7.5,WT5X7.5,7.5,2.21,5.0,4.0,0.23,0.27
WT5X6,WT,WT5X6,WT5X6,6.0,1.77,4.94,3.96,0.19,0.21
WT4X33.5,WT,WT4X33.5,WT4X33.5,33.5,9.84,4.5,8.28,0.57,0.935
WT4X29,WT,WT4X29,WT4X29,29.0,8.54,4.38,8.22,0.51,0.81
WT4X24,WT,WT4X24,WT4X24,24.0,7.05,4.25,8.11,0.4,0.685
WT4X20,WT,WT4X20,WT4X20,20.0,5.87,4.13,8.07,0.36,0.56
WT4X17.5,WT,WT4X17.5,WT4X17.5,17.5,5.14,4.06,8.02,0.31,0.495
WT4X15.5,WT,WT4X15.5,WT4X15.5,15.5,4.56,4.0,8.0,0.285,0.435
WT4X14,WT,WT4X14,WT4X14,14.0,4.12,4.03,6.54,0.285,0.465
WT4X12,WT,WT4X12,WT4X12,12.0,3.54,3.97,6.5,0.245,0.4
WT4X10.5,WT,WT4X10.5,WT4X10.5,10.5,3.08,4.14,5.27,0.25,0.4
WT4X9,WT,WT4X9,WT4X9,9.0,2.63,4.07,5.25,0.23,0.33
WT4X7.5,WT,WT4X7.5,WT4X7.5,7.5,2.22,4.06,4.02,0.245,0.315
WT4X6.5,WT,WT4X6.5,WT4X6.5,6.5,1.92,4.0,4.0,0.23,0.255
WT4X5,WT,WT4X5,WT4X5,5.0,1.48,3.95,3.94,0.17,0.205
WT3X12.5,WT,WT3X12.5,WT3X12.5,12.5,3.67,3.19,6.08,0.32,0.455
WT3X10,WT,WT3X10,WT3X10,10.0,2.94,3.1,6.02,0.26,0.365
WT3X7.5,WT,WT3X7.5,WT3X7.5,7.5,2.21,3.0,5.99,0.23,0.26
WT3X8,WT,WT3X8,WT3X8,8.0,2.37,3.14,4.03,0.26,0.405
WT3X6,WT,WT3X6,WT3X6,6.0,1.78,3.02,4.0,0.23,0.28
WT3X4.5,WT,WT3X4.5,WT3X4.5,4.5,1.34,2.95,3.94,0.17,0.215
WT3X4.25,WT,WT3X4.25,WT3X4.25,4.25,1.26,2.92,3.94,0.17,0.195
WT2.5X9.5,WT,WT2.5X9.5,WT2.5X9.5,9.5,2.78,2.58,5.03,0.27,0.43
WT2.5X8,WT,WT2.5X8,WT2.5X8,8.0,2.35,2.51,5.0,0.24,0.36
WT2X6.5,WT,WT2X6.5,WT2X6.5,6.5,1.91,2.08,4.06,0.28,0.345
MT6.25X6.2,MT,MT6.25X6.2,MT6.25X6.2,6.2,1.82,6.27,3.75,0.155,0.228
MT6.25X5.8,MT,MT6.25X5.8,MT6.25X5.8,5.8,1.7,6.25,3.5,0.155,0.211
MT6X5.9,MT,MT6X5.9,MT6X5.9,5.9,1.74,6.0,3.07,0.177,0.225
MT6X5.4,MT,MT6X5.4,MT6X5.4,5.4,1.59,5.99,3.07,0.16,0.21
MT6X5,MT,MT6X5,MT6X5,5.0,1.48,5.99,3.25,0.149,0.18
MT5X4.5,MT,MT5X4.5,MT5X4.5,4.5,1.33,5.0,2.69,0.157,0.206
MT5X4,MT,MT5X4,MT5X4,4.0,1.19,4.98,2.69,0.141,0.182
MT5X3.75,MT,MT5X3.75,MT5X3.75,3.75,1.11,5.0,2.69,0.13,0.173
MT4X3.25,MT,MT4X3.25,MT4X3.25,3.25,0.96,4.0,2.28,0.135,0.189
MT4X3.1,MT,MT4X3.1,MT4X3.1,3.1,0.91,4.0,2.28,0.129,0.177
MT3X2.2,MT,MT3X2.2,MT3X2.2,2.2,0.65,3.0,1.84,0.114,0.171
MT3X1.85,MT,MT3X1.85,MT3X1.85,1.85,0.55,2.96,2.0,0.098,0.129
MT2.5X9.45,MT,MT2.5X9.45,MT2.5X9.45,9.45,2.78,2.5,5.0,0.316,0.416
MT2X3,MT,MT2X3,MT2X3,3.0,0.88,1.9,3.8,0.13,0.16
ST12X60.5,ST,ST12X60.5,ST12X60.5,60.5,17.8,12.3,8.05,0.8,1.09
ST12X53,ST,ST12X53,ST12X53,53.0,15.6,12.3,7.87,0.62,1.09
ST12X50,ST,ST12X50,ST12X50,50.0,14.7,12.0,7.25,0.745,0.87
ST12X45,ST,ST12X45,ST12X45,45.0,13.2,12.0,7.13,0.625,0.87
ST12X40,ST,ST12X40,ST12X40,40.0,11.7,12.0,7.0,0.5,0.87
ST10X48,ST,ST10X48,ST10X48,48.0,14.1,10.2,7.2,0.8,0.92
ST10X43,ST,ST10X43,ST10X43,43.0,12.7,10.2,7.06,0.66,0.92
ST10X37.5,ST,ST10X37.5,ST10X37.5,37.5,11.0,10.0,6.39,0.635,0.795
ST10X33,ST,ST10X33,ST10X33,33.0,9.7,10.0,6.26,0.505,0.795
ST9X35,ST,ST9X35,ST9X35,35.0,10.3,9.0,6.25,0.711,0.691
ST9X27.35,ST,ST9X27.35,ST9X27.35,27.35,8.02,9.0,6.0,0.461,0.691
ST7.5X25,ST,ST7.5X25,ST7.5X25,25.0,7.34,7.5,5.64,0.55,0.622
ST7.5X21.45,ST,ST7.5X21.45,ST7.5X21.45,21.45,6.3,7.5,5.5,0.411,0.622
ST6X25,ST,ST6X25,ST6X25,25.0,7.33,6.0,5.48,0.687,0.659
ST6X20.4,ST,ST6X20.4,ST6X20.4,20.4,5.96,6.0,5.25,0.462,0.659
ST6X17.5,ST,ST6X17.5,ST6X17.5,17.5,5.12,6.0,5.08,0.428,0.544
ST6X15.9,ST,ST6X15.9,ST6X15.9,15.9,4.65,6.0,5.0,0.35,0.544
ST5X17.5,ST,ST5X17.5,ST5X17.5,17.5,5.14,5.0,4.94,0.594,0.491
ST5X12.7,ST,ST5X12.7,ST5X12.7,12.7,3.72,5.0,4.66,0.311,0.491
ST4X11.5,ST,ST4X11.5,ST4X11.5,11.5,3.38,4.0,4.17,0.441,0.425
ST4X9.2,ST,ST4X9.2,ST4X9.2,9.2,2.7,4.0,4.0,0.271,0.425
ST3X8.6,ST,ST3X8.6,ST3X8.6,8.6,2.53,3.0,3.57,0.465,0.359
ST3X6.25,ST,ST3X6.25,ST3X6.25,6.25,1.83,3.0,3.33,0.232,0.359
ST2.5X5,ST,ST2.5X5,ST2.5X5,5.0,1.46,2.5,3.0,0.214,0.326
ST2X4.75,ST,ST2X4.75,ST2X4.75,4.75,1.4,2.0,2.8,0.326,0.293
ST2X3.85,ST,ST2X3.85,ST2X3.85,3.85,1.13,2.0,2.66,0.193,0.293
ST1.5X3.75,ST,ST1.5X3.75,ST1.5X3.75,3.75,1.1,1.5,2.51,0.349,0.26
ST1.5X2.85,ST,ST1.5X2.85,ST1.5X2.85,2.85,0.83,1.5,2.33,0.17,0.26
2L12X12X1-3/8,2L,2L12X12X1-3/8,2L12X12X1-3/8,210.0,62.2,12.0,,,
2L12X12X1-3/8X3/4,2L,2L12X12X1-3/8X3/4,2L12X12X1-3/8X3/4,210.0,62.2,12.0,,,
2L12X12X1-3/8X1-1/2,2L,2L12X12X1-3/8X1-1/2,2L12X12X1-3/8X1-1/2,210.0,62.2,12.0,,,
2L12X12X1-1/4,2L,2L12X12X1-1/4,2L12X12X1-1/4,193.0,56.8,12.0,,,
2L12X12X1-1/4X3/4,2L,2L12X12X1-1/4X3/4,2L12X12X1-1/4X3/4,193.0,56.8,12.0,,,
2L12X12X1-1/4X1-1/2,2L,2L12X12X1-1/4X1-1/2,2L12X12X1-1/4X1-1/2,193.0,56.8,12.0,,,
