designation,type,edi_name,manual_label,weight_lb_ft,area_sq_in,depth_in,flange_w_in,web_t_in,flange_t_in
MC8X8.5,MC,MC8X8.5,MC8X8.5,8.5,2.5,8.0,1.87,0.179,0.311
MC7X22.7,MC,MC7X22.7,MC7X22.7,22.7,6.67,7.0,3.6,0.503,0.5
MC7X19.1,MC,MC7X19.1,MC7X19.1,19.1,5.61,7.0,3.45,0.352,0.5
MC6X18,MC,MC6X18,MC6X18,18.0,5.29,6.0,3.5,0.379,0.475
MC6X15.3,MC,MC6X15.3,MC6X15.3,15.3,4.49,6.0,3.5,0.34,0.385
MC6X16.3,MC,MC6X16.3,MC6X16.3,16.3,4.79,6.0,3.0,0.375,0.475
MC6X15.1,MC,MC6X15.1,MC6X15.1,15.1,4.44,6.0,2.94,0.316,0.475
MC6X12,MC,MC6X12,MC6X12,12.0,3.53,6.0,2.5,0.31,0.375
MC6X7,MC,MC6X7,MC6X7,7.0,2.09,6.0,1.88,0.179,0.291
MC6X6.5,MC,MC6X6.5,MC6X6.5,6.5,1.95,6.0,1.85,0.155,0.291
MC4X13.8,MC,MC4X13.8,MC4X13.8,13.8,4.03,4.0,2.5,0.5,0.5
MC3X7.1,MC,MC3X7.1,MC3X7.1,7.1,2.11,3.0,1.94,0.312,0.351
L12X12X1-3/8,L,L12X12X1-3/8,L12X12X1-3/8,105.0,31.1,12.0,,,
L12X12X1-1/4,L,L12X12X1-1/4,L12X12X1-1/4,96.4,28.4,12.0,,,
L12X12X1-1/8,L,L12X12X1-1/8,L12X12X1-1/8,87.2,25.8,12.0,,,
L12X12X1,L,L12X12X1,L12X12X1,77.8,23.0,12.0,,,
L10X10X1-3/8,L,L10X10X1-3/8,L10X10X1-3/8,87.1,25.6,10.0,,,
L10X10X1-1/4,L,L10X10X1-1/4,L10X10X1-1/4,79.9,23.4,10.0,,,
L10X10X1-1/8,L,L10X10X1-1/8,L10X10X1-1/8,72.3,21.3,10.0,,,
L10X10X1,L,L10X10X1,L10X10X1,64.7,19.0,10.0,,,
L10X10X7/8,L,L10X10X7/8,L10X10X7/8,56.9,16.8,10.0,,,
L10X10X3/4,L,L10X10X3/4,L10X10X3/4,49.1,14.5,10.0,,,
L8X8X1-1/8,L,L8X8X1-1/8,L8X8X1-1/8,56.9,16.8,8.0,,,
L8X8X1,L,L8X8X1,L8X8X1,51.0,15.1,8.0,,,
L8X8X7/8,L,L8X8X7/8,L8X8X7/8,45.0,13.3,8.0,,,
L8X8X3/4,L,L8X8X3/4,L8X8X3/4,38.9,11.5,8.0,,,
L8X8X5/8,L,L8X8X5/8,L8X8X5/8,32.7,9.69,8.0,,,
L8X8X9/16,L,L8X8X9/16,L8X8X9/16,29.6,8.77,8.0,,,
